WD1,,"2020-02-10 11:55",->,"2021-02-09 11:55"
,NO,,,NO2,,,NOXasNO2,,
,Value,Unit,Period,Value,Unit,Period,Value,Unit,Period
"2020-02-10 12:00",13.015074,24,1,19.333677,24,1,39.289845,24,1
"2020-02-10 13:00",9.158756,24,1,20.063701,24,1,34.106930,24,1
"2020-02-10 14:00",8.899196,24,1,17.953825,24,1,31.599067,24,1
"2020-02-10 15:00",16.241032,24,1,27.316700,24,1,52.219271,24,1
"2020-02-10 16:00",14.349953,24,1,24.977669,24,1,46.980624,24,1
"2020-02-10 17:00",22.841270,24,1,34.194213,24,1,69.217005,24,1
"2020-02-10 18:00",30.702226,24,1,43.931454,24,1,91.007542,24,1
"2020-02-10 19:00",39.935142,24,1,54.240105,24,1,115.473135,24,1
"2020-02-10 20:00",45.793779,24,1,52.167542,24,1,122.383690,24,1
"2020-02-10 21:00",20.653551,24,1,31.083956,24,1,62.752292,24,1
"2020-02-10 22:00",10.382395,24,1,19.469275,24,1,35.388726,24,1
"2020-02-10 23:00",8.157596,24,1,18.032052,24,1,30.540192,24,1
"2020-02-11 00:00",3.707998,24,1,11.033564,24,1,16.719083,24,1
"2020-02-11 01:00",1.965240,24,1,5.847790,24,1,8.861114,24,1
"2020-02-11 02:00",1.285439,24,1,5.756952,24,1,7.727932,24,1
"2020-02-11 03:00",0.444959,24,1,3.553239,24,1,4.235501,24,1
"2020-02-11 04:00",-0.222480,24,1,2.403152,24,1,2.062021,24,1
"2020-02-11 05:00",0.259561,24,1,3.447402,24,1,3.845389,24,1
"2020-02-11 06:00",1.075320,24,1,4.592991,24,1,6.241792,24,1
"2020-02-11 07:00",17.056793,24,1,16.814662,24,1,42.968044,24,1
"2020-02-11 08:00",15.128634,24,1,29.245277,24,1,52.442190,24,1
"2020-02-11 09:00",42.567821,24,1,52.878441,24,1,118.148189,24,1
"2020-02-11 10:00",47.647778,24,1,54.842079,24,1,127.900987,24,1
"2020-02-11 11:00",33.891104,24,1,40.602356,24,1,92.567991,24,1
